address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile,amount,contract_address
0x000000000004444c5dc75cb358380d2e3de08a90,,,,,,,175558680737982400,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00057f91e1bde9967a8d8e124bde9cd7b17d40c9,,,,,,,567959912321,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x000a99532e11ad7b06c26ceade3655ed64f68467,,,,,,,14331686906091,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x000d0cfc0dc5a23576dfe846585fc7c5aa334eca,,,,,,,204236599453661984,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x003264144e0687a1544438b0d80a97c989a492f2,,,,,,,68331506974955,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x0033c6f31cbd8b84795b35f607c75b03dd114175,,,,,,,25314784663438,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x0085cc4d9ce979174819da928d0b07979c9a9846,,,,,,,695913166853540,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,,,,,,,13925869375079455000,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00bae9d5026fe5fc6a47beebe6c0c672a796e093,,,,,,,132091248179732,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00bd68552c259a43bbbe0bea5c37fbee8bd51f81,,,,,,,178988509511357,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00d229d0df0b28e378225c649ec982afe3b955bf,,,,,,,139555864170233,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00d3976eea8a17dd0088355c84b4048f6f0d1641,,,,,,,4056856516577,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x00d62617ad2059fc99f0d6692c48dcf13e94ea82,,,,,,,66913867265390,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x010a0d6f6dd0da242faaafed264483bd2ba360de,,,,,,,59446138322360,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x010bb700d230644a0da1c90e1874d312fbe28612,,,,,,,24624897916882100000,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x0116ce688b93c6adde05aab9b31cf14284304227,,,,,,,205094624606917888,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x01465c48e8e8418333bae1d22b9da33c17451679,,,,,,,140286098343217,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x014b14c769329556a8e814e40cf41f8d56d75fe1,,,,,,,153251234602571,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x014cae32236468fe41384c1545a356d9c2a8641e,,,,,,,93829648545558,0x673467093bD799138B3e7c276F7a52B6A5E520B2
0x016aafca47ea6274fdc94751a8b1d15fb3cde17d,,,,,,,671582413306762620,0x673467093bD799138B3e7c276F7a52B6A5E520B2
