address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile,amount,contract_address,claimed,claimed_amount
0x0000005d3584925bfe774d112b623469533d1655,,,,,,,213670858243200480,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x000250150f8fc5030700090ac5f9006fa3a40134,,,,,,,148910609663699985568,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,True,1192341014472364302336
0x000250150f8fc5030700090ac5f9006fa3a40134,,,,,,,148910609663699985568,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,True,1107918079541014298624
0x000250150f8fc5030700090ac5f9006fa3a40134,,,,,,,148910609663699985568,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,True,994822721070904115200
0x00057f91e1bde9967a8d8e124bde9cd7b17d40c9,,,,,,,332901867598,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x000a99532e11ad7b06c26ceade3655ed64f68467,,,,,,,20218345570632,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x000d0cfc0dc5a23576dfe846585fc7c5aa334eca,,,,,,,121624116043227200,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x003264144e0687a1544438b0d80a97c989a492f2,,,,,,,98253160533183,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x003e951f051e481f9ef7185afe53cb2084607438,,,,,,,683472002466910976,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x008ee6e633bd28c486bc79b04745627a1eb8f67f,,,,,,,512,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x00bd68552c259a43bbbe0bea5c37fbee8bd51f81,,,,,,,106570210364957,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x00d3976eea8a17dd0088355c84b4048f6f0d1641,,,,,,,2413538540088,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x00d62617ad2059fc99f0d6692c48dcf13e94ea82,,,,,,,96214751039971,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
