address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile
0xf966614412df64e80fad2c7108c8b657b19c3cba,1.0079561951080003,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.0
0xf235c33f21d52216d5c13090ae6cb894e6c5ed90,1.0079561951080003,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.0
0x15663e1b016715cf8e365c47b58183b67ff127ed,1.0079561951080003,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.0
0xccc7f9ac1d3794a6a28d08710caad016710208b2,23403.692809999997,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.14285714285714285
0x52372a6dd24699cfd9ef227ad5375fa32133dc4c,47005.312176,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.19047619047619047
0xc62188bdb24d2685aed8fa491e33efba47db63c2,131345.850768,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.23809523809523808
0x875c2aa1b9772fe760e330c2fb18a1853dcce8ec,131347.35364800002,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.2857142857142857
0xb39b0cfc24bb5856957244c752c0cf67cc33ea4e,611066.458758,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.3333333333333333
0xaaf33a7e4756d097b2158551a25374daf600c49d,758217.4434,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.38095238095238093
0x07c7a5905f877d42395b730a815d4a90c9335241,909453.5599999999,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.42857142857142855
0xd5281b0011eb37ab391e59add92ccb33a6870816,1006945.2150443068,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.47619047619047616
0xeeda1b827e47ce5994713a305e699e9f812de44a,3086056.3028999995,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.5238095238095238
0x6454ac71ca260f99cca99a3f4241dfda20cfa965,4922745.094440002,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.5714285714285714
0xed2223b55e8085fff9c9b3ac964ae2696cd6618b,7741203.251200004,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.6190476190476191
0xde4a1b2ea88ec03e93aad9d4c5bffeb18687d079,18879930.454499997,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.6666666666666666
0xaac0f1f7715beb0a2c34eae16afe93fb10c1fb6f,29225597.193450004,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.7142857142857143
0x2364963e6b99281def39aeda6a8acee790d93af4,52654197.36276001,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.7619047619047619
0x765c6a8f20c842e8c826b0d9425015784f982afc,54727764.66700003,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.8095238095238095
0x5fdcb78ca9a1164c13428e5fc9582c8c48dab69f,77896129.75460008,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.8571428571428571
0x346d827a75f98f0a7a324ff80b7c3f90252e8bac,155413087.92999986,1,1,2026-03-02 00:00:00,2026-03-02 00:00:00,0.9047619047619048
0x388c818ca8b9251b393131c08a736a67ccb19297,846654625.6089674,42,42,2026-03-02 00:00:00,2026-03-02 00:00:00,0.9523809523809523
0x0c83eae1fe72c390a02e426572854931eeff93ba,1067900115.9686362,25,25,2026-03-02 00:00:00,2026-03-02 00:00:00,1.0
