address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile
0xc62188bdb24d2685aed8fa491e33efba47db63c2,85952.63418000001,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.0
0x346d827a75f98f0a7a324ff80b7c3f90252e8bac,465887.58999999997,2,2,2026-06-01 00:00:00,2026-06-01 00:00:00,0.14285714285714285
0x0c83eae1fe72c390a02e426572854931eeff93ba,1697038.740366,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.2857142857142857
0xed2223b55e8085fff9c9b3ac964ae2696cd6618b,3153414.485,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.42857142857142855
0x765c6a8f20c842e8c826b0d9425015784f982afc,21088225.910000008,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.5714285714285714
0xaac0f1f7715beb0a2c34eae16afe93fb10c1fb6f,31238597.82779999,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.7142857142857143
0x5fdcb78ca9a1164c13428e5fc9582c8c48dab69f,47378051.77000001,1,1,2026-06-01 00:00:00,2026-06-01 00:00:00,0.8571428571428571
0x388c818ca8b9251b393131c08a736a67ccb19297,71619692.16500002,3,3,2026-06-01 00:00:00,2026-06-01 00:00:00,1.0
