address,reward_address
0xb4714f9c2340b6ab024209185524fd1a875fdf15,0x50e33ff59dd8d1e8eed049f0583183f5984c0e44
0xfe222247735b3c7ef099ba761f9477450f5256fe,0x1eb2934cc1363f4780724b19585b58af356e1ff6
0x20816d1286e8fc37c3f1773562d503ce5f814107,0x50e33ff59dd8d1e8eed049f0583183f5984c0e44
0xf257acee08b6079265ae16d895bde88a5e0161f9,0x50e33ff59dd8d1e8eed049f0583183f5984c0e44
0xf966614412df64e80fad2c7108c8b657b19c3cba,0x220d292980fd0700411a6fd7d3d9a4486f14ec9b
0x15663e1b016715cf8e365c47b58183b67ff127ed,0x220d292980fd0700411a6fd7d3d9a4486f14ec9b
0xa2cfb4a5e7e501d6bd2d6aa8ecc10893e1dbd624,0x1eb2934cc1363f4780724b19585b58af356e1ff6
0x353ba7829f4002800112ba6214dabcd51e82e078,0x1eb2934cc1363f4780724b19585b58af356e1ff6
0xc21b193f9c8f12835405a4cc9008e8f74e4fe2fa,0x50e33ff59dd8d1e8eed049f0583183f5984c0e44
0xd5281b0011eb37ab391e59add92ccb33a6870816,0x220d292980fd0700411a6fd7d3d9a4486f14ec9b
0x3ada85d4f516b241a9e80e50fd3599a08dac54db,0x1eb2934cc1363f4780724b19585b58af356e1ff6
0xf235c33f21d52216d5c13090ae6cb894e6c5ed90,0x220d292980fd0700411a6fd7d3d9a4486f14ec9b
